Access Point,Channel,CCI Neighbor AP,SNR of Neighbor
us-mtv-2011-01-28,153,us-mtv-2011-01-03,22
us-mtv-2011-01-28,153,us-mtv-2011-01-39,14
us-mtv-2011-01-23,149,us-mtv-2011-01-33,24
us-mtv-2011-01-23,149,us-mtv-2011-01-42,19
us-mtv-2011-01-31,36,us-mtv-2011-01-19,19
us-mtv-2011-01-19,36,us-mtv-2011-01-31,27
us-mtv-2011-01-12,149,us-mtv-2011-01-42,25
us-mtv-2011-01-21,161,us-mtv-2011-01-22,21
us-mtv-2011-01-21,161,us-mtv-2011-01-13,14
us-mtv-2011-01-03,153,us-mtv-2011-01-39,19
us-mtv-2011-01-03,153,us-mtv-2011-01-28,25
us-mtv-2011-01-13,161,us-mtv-2011-01-08,24
us-mtv-2011-01-13,161,us-mtv-2011-01-22,19
us-mtv-2011-01-24,36,us-mtv-2011-01-35,33
us-mtv-2011-01-14,157,us-mtv-2011-01-09,32
us-mtv-2011-01-04,40,us-mtv-2011-01-40,16
us-mtv-2011-01-35,36,us-mtv-2011-01-24,32
us-mtv-2011-01-08,161,us-mtv-2011-01-13,27
us-mtv-2011-01-08,161,us-mtv-2011-01-22,23
us-mtv-2011-01-08,161,us-mtv-2011-01-05,15
us-mtv-2011-01-06,36,us-mtv-2011-01-19,14
us-mtv-2011-01-06,36,us-mtv-2011-01-31,19
us-mtv-2011-01-09,157,us-mtv-2011-01-14,30
us-mtv-2011-01-09,157,us-mtv-2015-01-11,16
us-mtv-2011-01-30,149,us-mtv-2011-01-37,37
us-mtv-2011-01-30,149,us-mtv-2011-01-33,17
us-mtv-2011-01-40,40,us-mtv-2011-01-04,24
us-mtv-2011-01-43,48,us-mtv-2011-01-10,17
us-mtv-2015-02-06,48,us-mtv-2015-01-03,18
us-mtv-2015-02-06,48,us-mtv-2011-01-25,14
us-mtv-2015-02-03-new,161,us-mtv-2015-02-11,15
us-mtv-2015-02-03-new,161,us-mtv-2015-02-15,15
us-mtv-2015-01-16,149,us-mtv-2015-01-15,43
us-mtv-2015-01-20,157,us-mtv-2015-01-11,29
us-mtv-2015-02-10,149,us-mtv-2015-02-09,36
us-mtv-2015-02-10,149,us-mtv-2015-02-19,23
us-mtv-2015-02-10,149,us-mtv-2015-02-29,27
us-mtv-2015-01-03,48,us-mtv-2015-01-09,24
us-mtv-2015-01-03,48,us-mtv-2015-02-06,21
us-mtv-2015-02-27,44,us-mtv-2015-02-12,19
us-mtv-2015-02-27,44,us-mtv-2015-02-24,26
us-mtv-2015-02-11,161,us-mtv-2015-02-15,32
us-mtv-2015-02-11,161,us-mtv-2015-02-14-new,25
us-mtv-2015-01-15,149,us-mtv-2015-01-16,40
us-mtv-2015-02-25,48,us-mtv-2015-02-23,15
us-mtv-2015-02-24,44,us-mtv-2015-02-27,17
us-mtv-2015-01-09,48,us-mtv-2015-01-03,24
us-mtv-cl5-02-01,161,us-mtv-cl5-02-03,23
us-mtv-cl5-02-03,161,us-mtv-cl5-02-01,21
us-mtv-2015-02-09,149,us-mtv-2015-02-10,38
us-mtv-2015-02-09,149,us-mtv-2015-02-29,28
us-mtv-2015-02-09,149,us-mtv-2015-02-19,27
us-mtv-2015-01-02,40,us-mtv-2015-01-22,20
us-mtv-2015-02-19,149,us-mtv-2015-02-10,23
us-mtv-2015-02-19,149,us-mtv-2015-02-29,15
us-mtv-2015-02-19,149,us-mtv-2015-02-09,23
us-mtv-2015-01-07,44,us-mtv-2015-02-12,14
us-mtv-2015-01-11,157,us-mtv-2015-01-20,18
us-mtv-2015-02-16,44,us-mtv-2015-02-12,22
us-mtv-2015-02-08,36,us-mtv-2015-02-07,37
us-mtv-2015-02-08,36,us-mtv-2015-02-28,38
us-mtv-2015-01-12,161,us-mtv-2015-01-04,34
us-mtv-2015-02-07,36,us-mtv-2015-02-08,34
us-mtv-2015-02-07,36,us-mtv-2015-02-28,28
us-mtv-2015-02-14-new,161,us-mtv-2015-02-15,38
us-mtv-2015-02-14-new,161,us-mtv-2015-02-11,28
us-mtv-2015-02-28,36,us-mtv-2015-02-07,29
us-mtv-2015-02-28,36,us-mtv-2015-02-08,39
us-mtv-2015-01-04,161,us-mtv-2015-01-12,34
us-mtv-2015-02-29,149,us-mtv-2015-02-10,27
us-mtv-2015-02-29,149,us-mtv-2015-02-09,28
us-mtv-2015-02-29,149,us-mtv-2015-02-19,17
us-mtv-2015-02-15,161,us-mtv-2015-02-11,32
us-mtv-2015-02-15,161,us-mtv-2015-02-14-new,41
us-mtv-2015-01-23,153,us-mtv-2015-01-19,18
us-mtv-2015-01-19,153,us-mtv-2015-01-23,19
us-mtv-2015-01-22,40,us-mtv-2015-01-02,19
us-mtv-2015-02-23,48,us-mtv-2015-02-25,18
us-mtv-cl2-04-10,153,us-mtv-cl2-04-11,31
us-mtv-cl2-04-10,153,us-mtv-cl2-04-02,14
us-mtv-cl2-04-10,153,us-mtv-cl2-04-08,37
us-mtv-cl2-04-08,153,us-mtv-cl2-04-02,15
us-mtv-cl2-04-08,153,us-mtv-cl2-04-11,28
